timestamp,raw_value,emg_voltage,filtered_value,muscle_state
5.19,163,0.13,0.13,rest
5.2,160,0.13,0.13,rest
5.21,157,0.13,0.13,rest
5.22,155,0.12,0.13,rest
5.23,151,0.12,0.12,rest
5.24,149,0.12,0.12,rest
5.25,143,0.12,0.12,rest
5.26,143,0.12,0.12,rest
5.27,144,0.12,0.12,rest
5.28,139,0.11,0.11,rest
5.29,138,0.11,0.11,rest
5.3,136,0.11,0.11,rest
5.31,135,0.11,0.11,rest
5.32,135,0.11,0.11,rest
5.33,133,0.11,0.11,rest
5.34,131,0.11,0.11,rest
5.35,133,0.11,0.11,rest
5.36,134,0.11,0.11,rest
5.37,136,0.11,0.11,rest
5.38,131,0.11,0.11,rest
5.39,136,0.11,0.11,rest
5.4,134,0.11,0.11,rest
5.41,130,0.1,0.11,rest
5.42,134,0.11,0.11,rest
5.43,132,0.11,0.11,rest
5.44,130,0.1,0.11,rest
5.45,130,0.1,0.11,rest
5.46,134,0.11,0.11,rest
5.47,133,0.11,0.11,rest
5.48,130,0.1,0.11,rest
5.49,132,0.11,0.11,rest
5.5,129,0.1,0.11,rest
5.51,130,0.1,0.1,rest
5.52,129,0.1,0.1,rest
5.53,130,0.1,0.1,rest
5.54,127,0.1,0.1,rest
5.55,131,0.11,0.1,rest
5.56,128,0.1,0.1,rest
5.57,141,0.11,0.11,rest
5.58,143,0.12,0.11,rest
5.59,143,0.12,0.11,rest
5.6,138,0.11,0.11,rest
5.61,138,0.11,0.11,rest
5.62,146,0.12,0.11,rest
5.63,145,0.12,0.12,rest
5.64,151,0.12,0.12,rest
5.65,154,0.12,0.12,rest
5.66,158,0.13,0.12,rest
5.67,168,0.14,0.13,rest
5.68,181,0.15,0.14,rest
5.69,181,0.15,0.14,rest
5.7,189,0.15,0.15,rest
5.71,183,0.15,0.15,rest
5.72,182,0.15,0.15,rest
5.73,172,0.14,0.14,rest
5.74,171,0.14,0.14,rest
5.75,165,0.13,0.14,rest
5.76,161,0.13,0.13,rest
5.77,159,0.13,0.13,rest
5.78,153,0.12,0.13,rest
5.79,149,0.12,0.12,rest
5.8,143,0.12,0.12,rest
5.81,145,0.12,0.12,rest
5.82,140,0.11,0.11,rest
5.83,139,0.11,0.11,rest
5.84,138,0.11,0.11,rest
5.85,141,0.11,0.11,rest
5.86,138,0.11,0.11,rest
5.87,135,0.11,0.11,rest
5.88,137,0.11,0.11,rest
5.89,131,0.11,0.11,rest
5.9,128,0.1,0.11,rest
5.91,133,0.11,0.11,rest
5.92,135,0.11,0.11,rest
5.93,133,0.11,0.11,rest
5.94,147,0.12,0.11,rest
5.95,160,0.13,0.12,rest
5.96,171,0.14,0.13,rest
5.97,193,0.16,0.14,rest
5.98,210,0.17,0.16,rest
5.99,246,0.2,0.18,rest
6.0,276,0.22,0.2,active
6.01,323,0.26,0.23,active
6.02,368,0.3,0.27,active
6.03,416,0.34,0.3,active
6.04,475,0.38,0.35,active
6.05,539,0.43,0.39,active
6.06,601,0.48,0.44,active
6.07,675,0.54,0.5,active
6.08,737,0.59,0.55,active
6.09,816,0.66,0.61,active
